DATE,NG_DEMAND,LOWEST_REL_HUMIDITY,HEATING_DEGREE_DAYS,LOWEST_TEMPERATURE,AVG_TEMPERATURE,HIGHEST_TEMPERATURE
2013-11-01,617,44.4,14.833333333333334,-2.933333333333333,3.1666666666666665,9.206666666666667
2013-11-02,630,34.13333333333333,16.293333333333333,-5.866666666666666,1.7066666666666668,9.266666666666667
2013-11-03,688,60.13333333333333,16.726666666666667,-2.1666666666666665,1.2733333333333334,4.706666666666666
2013-11-04,815,66.46666666666667,23.540000000000003,-9.106666666666666,-5.54,-1.9066666666666665
2013-11-05,789,53.0,27.82,-14.966666666666667,-9.82,-4.633333333333334
2013-11-06,757,50.733333333333334,27.0,-16.0,-9.0,-1.9733333333333334
2013-11-07,683,51.53333333333333,21.493333333333332,-9.6,-3.493333333333333,2.6533333333333333
2013-11-08,725,66.53333333333333,18.973333333333336,-3.453333333333333,-0.9733333333333333,1.5333333333333334
2013-11-09,790,60.06666666666667,22.466666666666665,-8.653333333333334,-4.466666666666667,-0.24000000000000002
2013-11-10,897,52.06666666666667,31.653333333333332,-21.573333333333334,-13.653333333333334,-5.7
2013-11-11,823,45.666666666666664,30.82,-20.92,-12.82,-4.666666666666667
2013-11-12,695,46.6,20.373333333333335,-11.173333333333334,-2.3733333333333335,6.453333333333333
2013-11-13,680,46.93333333333333,15.74,-2.5933333333333333,2.26,7.1066666666666665
2013-11-14,718,57.4375,18.75625,-4.55,-0.75625,3.05
2013-11-15,688,45.3125,17.6375,-3.50625,0.3625,4.23125
2013-11-16,775,61.5625,22.98125,-8.5125,-4.98125,-1.40625
2013-11-17,805,59.1875,31.075,-17.756249999999998,-13.075,-8.34375
2013-11-18,787,59.5625,30.78125,-19.36875,-12.78125,-6.1375
2013-11-19,800,57.75,29.31875,-16.13125,-11.31875,-6.45625
2013-11-20,941,55.75,39.26875,-27.075,-21.26875,-15.41875
2013-11-21,945,48.375,37.15,-26.74375,-19.15,-11.5
2013-11-22,994,51.6875,40.1875,-27.95625,-22.1875,-16.3625
2013-11-23,853,51.3125,32.35,-23.63125,-14.35,-5.00625
2013-11-24,751,47.1875,20.1125,-7.4375,-2.1125,3.2625
2013-11-25,876,52.9375,27.0625,-15.075,-9.0625,-2.9875
2013-11-26,860,46.5625,30.3125,-20.15625,-12.3125,-4.41875
2013-11-27,831,50.0625,23.5125,-10.2125,-6.6375,-3.575
2013-11-28,839,59.0,26.0375,-10.125,-8.0375,-5.9
2013-11-29,832,59.625,25.00625,-11.168750000000001,-7.00625,-2.7875
2013-11-30,818,59.0,26.0375,-12.9125,-8.0375,-3.1375
2013-12-01,820,62.375,23.68125,-8.86875,-5.68125,-2.4375
2013-12-02,894,62.6875,26.58125,-12.575,-8.58125,-4.54375
2013-12-03,924,58.5,34.1625,-19.95,-16.1625,-12.3125
2013-12-04,973,57.5625,39.48125,-25.55625,-21.48125,-17.375
2013-12-05,1073,53.6875,43.5625,-29.31875,-25.5625,-21.76875
2013-12-06,1143,52.0,47.06875,-31.775000000000002,-29.06875,-26.30625
